,txt,label
55,"['Fortis', 'healthcare', ':', 'Board', 'unable', 'to', 'determine', 'if', 'fraud', 'has', 'occurred', ',', 'say', 'Auditors']",0
56,"['Heavy', 'Rains', 'Paralyse', 'Nagpur', ',', 'Schools', 'To', 'Remain', 'Shut', 'Tomorrow']",0
57,"['A', 'Syrian', 'Girl', 'Used', 'Tin', 'Cans', 'For', 'Legs', '.', 'Now', 'She', 'Is', 'Taking', 'Her', 'First', 'Steps']",0
58,"['Thai', 'Boys', 'Ask', 'For', 'Less', 'Homework', 'In', 'First', 'Letters', 'From', 'Flooded', 'Cave']",0
59,"['Assam', 'woman', 'accuses', 'AIUDF', 'MLA', 'of', 'rape']",0
60,"['``', 'Do', ""n't"", 'Call', 'Off', 'Marriages', 'Over', 'Trivial', 'Issues', ""''"", ':', 'Goa', 'Governor', 'To', 'Students']",0
61,"['1992', 'Securities', 'Scam', ':', 'Senior', 'Bank', 'Officials', 'Among', '5', 'Sentenced']",0
62,"['Southern', 'Syria', 'Rebels', 'Agree', 'To', 'Russia-Brokered', 'Surrender', 'deal']",0
63,"['Former', 'Express', 'journalist', 'dies', 'at', '94']",0
64,"['Go', 'ship', ',', 'Go', '!', 'China', 'Roots', 'For', 'Last', 'US', 'Soybean', 'Cargo', 'To', 'Land', 'Before', 'Tariffs']",0
65,"['5', '.', 'Fake', 'Video', 'Claiming', 'Bengaluru', 'Airport', 'Was', 'Flooded', ',', 'Is', 'From', 'Mexico']",1
66,"['Delhi', ':', 'Couple', 'held', 'for', 'enslaving', 'help', ',', 'inviting', 'men', 'to', 'rape', 'her']",0
67,"['5', 'names', 'we', 'suggest', 'if', 'Vijay', 'Mallya', 'forms', 'his', 'own', 'Rock', 'Band']",1
68,"['Delhi', ':', 'Kerala', 'cops', 'pose', 'as', 'fruit', 'sellers', 'to', 'arrest', 'accused']",0
69,"['Simultaneous', 'Polls', 'Will', 'Weaken', 'Regional', 'Parties', ',', 'Says', 'TDP']",0
70,['TheQuint'],1
71,"['In', 'Jammu', 'And', 'Kashmir', ',', 'Salaries', 'Of', 'Absentee', 'Government', 'Employees', 'Withheld']",0
72,"['Families', 'in', 'Food', ':', 'A', 'Plate', 'of', 'Sunshine']",0
73,"['Maldives', 'Snubs', 'India', 'Again', ',', 'Inks', 'Power', 'Sector', 'Deal', 'With', 'Pakistan']",0
74,"['12', '.', 'Pray', 'For', '‘', 'Christian', '’', 'Prannoy', 'Roy', ':', 'How', 'Fake', 'Messages', 'Stir', 'Bigotry']",1
75,"['Rahul', 'Gandhi', 'Meets', 'Bhutanese', 'Prime', 'Minister', 'Tshering', 'Tobgay']",0
76,"['Justice', 'AK', 'Goel', ',', 'Who', 'Retires', 'From', 'Top', 'Court', ',', 'Appointed', 'National', 'Green', 'Tribunal', 'Chairperson']",0
77,"['PM', 'Modi', ""'s"", ""'Bail-"", '<', 'i', '>', 'Gaadi', '<', '/i', '>', ""'"", 'Dig', 'At', 'Congress', 'On', 'Shashi', 'Tharoor', ""'s"", 'Day', 'In', 'Court']",0
78,"['Legalising', 'Gambling', 'In', 'Sports', 'Will', 'Create', 'Lots', 'Of', 'Problems', ':', 'CPI', 'Leader']",0
79,"['Class', '4', 'Boy', '``', 'Mercilessly', ""''"", 'Beaten', 'Up', 'By', 'Principal', 'In', 'UP', ""'s"", 'Gorakhpur']",0
80,"['BJP', 'MP', ',', 'Chhattisgarh', 'CM', '’', 's', 'son', 'is', 'man', 'named', 'in', 'offshore', 'accounts', 'leak', ':', 'Congress']",0
81,"['Mike', 'Pompeo', 'In', 'Pyongyang', 'To', 'Seek', 'Concrete', 'Nuclear', 'Commitments']",0
82,"['PM', 'Modi', ""'s"", 'Message', 'To', '``', 'Hotel', 'Motel', 'Patel', '<', 'i', '>', 'Wallahs', '<', '/i', '>', ""''"", 'In', 'US', 'Via', 'Video', 'Link']",0
83,"['8', 'Songs', 'that', 'perfectly', 'suit', 'Indian', 'Politicians']",1
84,"['Nagpur', 'Paralysed', 'Due', 'To', 'Heavy', 'Rain', ',', 'Assembly', 'Building', 'Flooded']",0
85,"['Justice', 'AK', 'Goel', ',', 'Who', 'Ruled', 'On', 'Dalit', 'Atrocities', 'Law', ',', 'Retires', 'From', 'Top', 'Court']",0
86,"['7', 'Maoists', 'Surrender', 'In', 'Chhattisgarh', ""'s"", 'Sukma']",0
87,"['BJP', 'Ally', 'Goa', 'Forward', 'Party', 'Opposes', 'Simultaneous', 'Polls']",0
88,"['No', 'Record', 'Of', '280', 'Births', 'At', 'Missionaries', 'of', 'Charity', ""'s"", 'Ranchi', 'Facility']",0
89,"['Will', 'Return', 'To', 'Pakistan', 'In', '10', 'Days', ':', 'Maryam', 'Nawaz', 'Sharif']",0
90,"['Governor', '’', 's', 'rule', 'is', 'no', 'alternative', 'to', 'democracy', '.', 'It', 'is', 'a', 'transitory', 'phase', ',', 'even', 'in', 'a', 'state', 'like', 'J', '&', 'K', ':', 'Jitendra', 'Singh']",0
91,"['``', 'Get', 'Rahul', 'Married', 'To', 'Brahmin', 'Girl', 'If', 'He', 'Wants', 'To', 'Be', 'PM', ""''"", ':', 'TDP', 'Lawmaker']",0
92,"['Gained', 'in', 'Translation', ':', 'Running', 'out', 'of', 'charge']",0
93,"['``', 'Returning', 'To', 'Pakistan', ""''"", ':', 'Nawaz', 'Sharif', 'After', 'Being', 'Sentenced', 'To', '10', 'Years', ""'"", 'Jail', 'For', 'Corruption']",0
94,"['Amul', 'Thapar', 'Not', 'On', 'Donald', 'Trump', ""'s"", 'Shortlist', 'For', 'US', 'Supreme', 'Court', ':', 'Report']",0
95,"['Mumbai', 'Man', 'Climbs', 'TV', 'Tower', ',', 'Asks', 'Police', 'To', 'Call', 'Journalists']",0
96,"['Order', 'CBI', 'probe', 'in', 'police-drug', 'mafia', 'nexus', ',', 'send', 'DGP', 'on', 'leave', ':', 'Khaira', 'to', 'Punjab', 'CM']",0
97,"['1', '.', 'The', 'Photo', 'of', 'Yogi', 'Adityanath', 'Drinking', 'Cow', 'Urine', 'on', 'Twitter', 'is', 'Fake']",1
98,"['1,225', 'Stranded', 'Kailash', 'Mansarovar', 'Pilgrims', 'rescued', 'from', 'Nepal', ""'s"", 'Simikot']",0
99,"['Standard', 'Of', 'Living', 'Has', 'Improved', 'Since', 'BJP', 'Came', 'To', 'Power', ':', 'Yogi', 'Adityanath']",0
100,"['Pigs', ',', 'Paws', 'And', 'Pistachios', ':', 'These', 'US', 'Goods', 'Face', 'Tariffs', 'In', 'China']",0
101,['TheQuint'],1
102,"['6', '.', 'BJP', '’', 's', 'Nupur', 'Sharma', 'Asks', 'to', '‘', '#', 'SaveBengal', '’', 'Using', '2002', 'Riots', 'Image']",1
103,"['PM', 'Modi', 'should', 'talk', 'about', '‘', 'scams', '’', 'under', 'BJP', ',', 'not', 'bail-gaadi', ':', 'Congress']",0
104,"['Woman', ',', '2', 'Children', 'Allegedly', 'Burnt', 'Alive', 'By', 'In-Laws', 'For', 'Dowry', 'In', 'Lucknow']",0
105,"['Down', 'in', 'Jungleland', ':', 'Flying', 'Over', 'the', 'Cuckoo', '’', 's', 'Nest']",0
106,"['Supreme', 'Court', 'Admits', 'Plea', 'Of', 'Sikh', 'Cyclist', 'Who', 'Alleged', 'Discrimination']",0
107,"['Su-raj', '(', 'good', 'governance', ')', 'and', 'Ms', 'Swaraj']",0
108,"['Competition', 'Between', 'BJP', 'And', 'Rupee', 'To', 'See', 'Who', 'Will', 'Fall', 'Lower', ':', 'Congress']",0
109,"['Indian-Origin', 'Woman', 'Jailed', 'Upto', '3', 'Years', 'For', 'Role', 'In', 'US', 'Navy', 'Corruption']",0
110,"['All', 'Pilgrims', 'Stranded', 'At', 'Kailash', 'Mansarovar', 'Evacuated', 'From', 'Nepal']",0
111,"['Delhi', ':', 'Stuck', 'between', 'govt', 'and', 'LG', ',', 'better', 'meals', 'for', 'kids']",0
112,"['2', '.', 'AMU', 'Not', 'Serving', 'Food', 'to', 'Hindus', 'During', 'Ramzan', '?', 'Here', '’', 's', 'the', 'Truth']",1
113,"['2', 'Retired', 'Bank', 'Of', 'India', 'Officers', 'Arrested', 'In', 'Alleged', 'Rs', '2654-Crore', 'Fraud']",0
114,"['2', '.', 'The', '‘', 'zombie', '’', 'Angelina', 'Jolie', 'lookalike', '‘', 'after', '50', 'surgeries', '’']",1
115,"['Public', 'Works', 'Department', 'Asks', 'Officials', 'To', 'Check', 'Waterlogging', 'During', 'Rains']",0
116,"['Iran', 'Executes', 'Eight', 'Terrorists', 'Over', 'Deadly', 'ISIS', 'Attacks', 'In', 'Tehran']",0
117,"['Sons', 'Shoot', 'Man', 'Dead', 'For', 'Allegedly', 'Having', 'Affair', 'With', 'Daughter-In-Law']",0
118,"['China', 'Blames', 'US', 'For', ""'Largest-Scale"", 'Trade', 'War', ""'"", 'As', 'Tariffs', 'Kick', 'In']",0
119,"['Organs', 'Of', 'BJP', 'Youth', 'Leader', 'Who', 'Died', 'To', '``', 'Prove', 'Love', ""''"", 'Donated', 'By', 'Family']",0
120,"['10', '.', 'Hilarious', 'memes', 'of', 'this', 'fake', 'photo', 'of', 'world', 'leaders', 'from', 'the', 'G20', 'Summit']",1
121,"['World', 'Chocolate', 'Day', ':', 'From', 'Currency', 'To', 'Snack', ',', 'The', 'Story', 'Of', 'Chocolate']",0
122,"['``', 'Not', 'Feasible', 'To', 'Hold', 'Simultaneous', 'Polls', ""''"", ',', 'Says', 'Puducherry', 'CM']",0
123,"['Dawood', 'Ibrahim', 'Aide', 'Naim', 'Khan', ',', 'Wife', 'Arrested', 'For', 'AK-56', 'Rifle', 'Possession']",0
124,"['JEE', '(', 'Main', ')', ',', 'NEET', 'to', 'be', 'held', 'twice', 'a', 'year', ',', 'over', 'multiple', 'days', ',', 'says', 'HRD', 'Minister', 'Prakash', 'Javadekar']",0
125,"['Man', 'Arrested', 'In', 'Delhi', 'For', 'Duping', 'Man', 'With', 'Job', 'Promise']",0
126,"['In', 'the', 'ordinary', ',', 'I', 'find', 'a', 'diminished', 'epic', ':', 'Sumana', 'Roy']",0
127,"['Ram', 'Madav', 'Disapproves', '``', 'Abuses', ',', 'Death', 'Wishes', ""''"", 'Against', 'Sushma', 'Swaraj']",0
128,"['Haryana', 'CM', 'Manohar', 'Lal', 'Khattar', 'loses', 'cool', ',', 'asks', 'journalists', 'to', 'behave']",0
129,"['Case', 'Registered', 'Against', 'Cop', 'For', 'Posting', 'Objectionable', 'Message', 'On', 'WhatsApp']",0
130,"['Croatia', '’', 's', 'Luka', 'Modric', 'chasing', 'World', 'Cup', 'dream', 'after', 'shootout', 'win']",0
131,"['‘', 'Liquor', 'raid', '’', 'in', 'Gujarat', ':', 'Hardik', 'Patel', ',', 'Alpesh', 'Thakor', ',', 'Jignesh', 'Mevani', 'booked', 'for', 'trespassing']",0
132,"['FTII', 'takes', 'action', 'against', 'two', 'students', 'over', 'graffiti']",0
133,"['``', 'BJP', 'Believes', 'Only', 'In', '<', 'i', '>', 'Vikas', ',', 'Vikas', '<', '/i', '>', 'And', '<', 'i', '>', 'Vikas', '<', '/i', '>', ""''"", ':', 'PM', 'Modi', 'In', 'Rajasthan']",0
134,"['Space', 'Tech', 'From', 'ISRO', 'To', 'Help', 'UP', 'Police', 'Map', 'Crimes']",0
135,"['Delhi', ':', 'Two', 'students', 'hospitalised', 'after', 'mid-day', 'meal', 'at', 'school']",0
136,"['Yogi', 'Adityanath', 'Bans', 'Plastic', 'Bags', 'In', 'Uttar', 'Pradesh', 'From', 'July', '15']",0
137,"['Gujarat', 'Police', 'Files', 'Complaint', 'Against', '``', 'Unknown', 'Ghost', ""'"", 'In', 'Suicide', 'Case']",0
138,"['5-Judge', 'Constitution', 'Bench', 'Of', 'Supreme', 'Court', 'To', 'Hear', 'Plea', 'On', 'Gay', 'Sex', 'Law']",0
139,"['One', 'dead', ',', '20', 'rescued', 'from', 'waterfall', 'near', 'Mumbai', 'as', 'water', 'level', 'rises']",0
140,"['``', 'Honouring', 'Law', ""''"", ':', 'Jayant', 'Sinha', 'On', 'Row', 'Over', 'Felicitating', 'Lynching', 'Convicts']",0
141,"['14', '.', 'Fake', 'News', 'Claims', 'Hot', 'Oil', 'Was', 'Poured', 'on', 'Hindu', 'Man', ',', 'Sparks', 'Violence']",1
142,"['UK', 'Town', 'To', 'Be', 'Amritsar', ""'s"", 'Twin', 'City', 'In', 'Memory', 'Of', 'Maharaja', 'Duleep', 'Singh']",0
143,"['At', 'Least', '49', 'Killed', ',', '48', 'Missing', 'As', 'Torrential', 'Rain', 'Pounds', 'Japan']",0
144,"['Emergency', 'Was', 'In', 'Mind', 'While', 'Writing', 'Order', ',', 'Says', 'Former', 'Top', 'Court', 'Judge']",0
145,"['8', '.', 'The', 'shark', 'on', 'the', 'street', 'that', 'went', 'viral', 'during', 'Hurricane', 'Harvey', 'in', 'US']",1
146,"['Thai', 'Boys', 'Trapped', 'In', 'Cave', 'Get', 'Wishes', ',', 'World', 'Cup', 'Invite', 'From', 'FIFA', 'Boss']",0
147,"['Dancing', 'with', 'the', 'Star', ':', 'The', 'legacy', 'of', 'Amala', 'Shankar', ',', 'the', 'centenarian']",0
148,"['Dead', 'Lizard', 'In', 'Delhi', 'School', ""'s"", 'Mid-Day', 'Meal', 'Leaves', '2', 'Girls', 'Hospitalised']",0
149,"['Shashi', 'Tharoor', 'Appears', 'In', 'Court', 'In', 'Sunanda', 'Pushkar', 'Death', 'Case']",0
150,"['IndiGo', 'Grounds', 'Another', 'A320', 'Neo', 'Aircraft', 'After', '``', 'Minor', 'Snag', ""''"", 'In', 'Engine']",0
151,"['11', '.', 'No', 'Electricity', 'in', 'Jama', 'Masjid', '?', 'Republic', 'TV', 'Shares', 'Fake', 'News']",1
152,"['Inside', 'Track', ':', 'Line', 'of', 'division']",0
153,"['Heavy', 'Rain', 'Expected', 'In', 'Mumbai', 'For', '5', 'Days', ',', 'Life', 'Paralysed', 'In', 'Maharashtra']",0
154,"['Ludhiana', ':', '12-yr-old', 'rape', 'victim', '’', 's', 'daughter', 'handed', 'over', 'to', 'orphanage']",0
155,"['2', 'Central', 'GST', 'Officials', 'Caught', 'In', 'Rs', '43', 'Crores', 'Fake', 'Invoices', 'Case']",0
156,"['The', 'truth', 'has', 'two', 'sides', ':', 'Abir', 'Mukherjee', 'on', '‘', 'A', 'Rising', 'Man', '’', 'and', '‘', 'Smoke', 'and', 'Ashes', '’']",0
157,"['5', '.', 'Astronaut', 'shared', 'lit-up', 'pic', 'of', 'India', ',', 'but', 'it', 'was', 'not', 'from', 'Diwali', '–', 'again', '!']",1
158,"['Sherwood', 'student', 'from', 'Punjab', 'dies', 'in', '‘', 'accidental', 'firing', '’']",0
159,"['Telangana', 'Allots', '200', 'Acres', 'Land', 'To', 'Women', 'Entrepreneurs']",0
160,"['The', 'Cup', 'of', 'Life', ':', 'How', 'football', 'brought', 'the', 'author', 'back', 'to', 'life']",0
161,"['PM', 'Narendra', 'Modi', '’', 's', 'rally', 'a', 'flop', 'show', ',', 'says', 'Ashok', 'Gehlot']",0
162,"['In', 'Protest', 'Against', 'Nobel', 'Prize', 'Scandal', ',', 'Intellectuals', 'Seek', 'Alternative']",0
163,"['Naagin', '3', 'July', '7', 'episode', 'preview', ':', 'Will', 'Mahir', '’', 's', 'love', 'change', 'Bela', '?']",0
164,"['Punjab', ':', '24', 'year-old', 'drug', 'addict', 'dies', 'during', 'treatment', 'at', 'hospital']",0
165,"['US', 'Seeks', 'Court', 'Guidance', 'On', 'Deadlines', 'To', 'Reunite', 'Migrant', 'Families']",0
166,"['14', '.', 'The', 'Rs', '2000-note', 'car', 'viral', 'pic', ',', 'and', 'the', '‘', 'lover', 'who', 'was', 'arrested', '’']",1
167,"['Odisha', ':', 'An', 'ex-Maoist', 'juggles', 'social', 'science', ',', 'math']",0
168,"['12', 'Thai', 'Boys', 'Not', 'Ready', 'To', 'Dive', 'Out', 'Of', 'Cave', ':', 'Authorities']",0
169,"['US', 'Demand', 'Of', 'Irreversible', 'Denuclearisation', '``', 'Troubling', ""''"", ',', 'Says', 'North', 'Korea']",0
170,"['Jammu', 'and', 'Kashmir', ':', '‘', 'BJP', 'wants', 'to', 'continue', 'with', 'Governor', '’', 's', 'rule', '’']",0
171,"['Congress', 'Party', ""'s"", 'No-Trust', 'Motion', 'Against', 'Raman', 'Singh', 'Government', 'Defeated']",0
172,"['Nuclear', 'Deal', 'Talks', 'Set', 'To', 'Drag', 'On', 'As', 'Iran', 'Seeks', 'More', 'From', 'World', 'Powers']",0
173,"['Punjab', 'Speaker', 'Rana', 'K', 'P', 'Singh', 'Voluntarily', 'Undergoes', 'Dope', 'Test']",0
174,"['Manish', 'Sisodia', ""'s"", '``', 'Aam', ""''"", 'Joke', 'At', 'Delhi', 'Mango', 'Fest']",0
175,"['6', 'interesting', 'things', 'to', 'know', 'about', 'Idea', 'and', 'Vodafone', 'merger']",1
176,"['At', 'Key', 'JD', '(', 'U', ')', 'Meet', 'Today', ',', 'Nitish', 'Kumar', 'To', 'Strategise', 'Amid', 'Strain', 'With', 'BJP']",0
177,"['American', 'Tourist', 'Molested', 'By', 'Yoga', 'Teacher', 'In', 'Rishikesh']",0
178,"['After', 'feting', 'Jharkhand', 'men', 'convicted', 'of', 'lynching', ',', 'Union', 'Minister', 'Jayant', 'Sinha', 'talks', 'of', 'due', 'process']",0
179,"['From', 'Chilean', 'Miners', 'To', 'Elon', 'Musk', ',', 'World', 'Watches', 'Cave', 'Rescue', 'Of', 'Thai', 'Boys']",0
180,"['Man', 'Falls', 'On', 'Tracks', 'At', 'Delhi', 'Metro', 'Station', ',', 'Rescued']",0
181,"['Pay', 'fine', 'for', 'invasive', 'test', 'without', 'patient', '’', 's', 'nod', ':', 'Consumer', 'panel', 'to', 'hospital']",0
182,"['LG-govt', 'standoff', ':', 'Focus', 'now', 'shifts', 'to', 'unauthorised', 'colonies', ',', 'Kejriwal', 'calls', 'situation', 'hellish']",0
183,"['CRPF', 'Jawan', 'Injured', 'In', 'Grenade', 'Attack', 'In', 'Srinagar']",0
184,"['My', 'life', 'as', 'a', 'writer', 'has', 'been', 'an', 'investigation', 'of', 'the', 'past', ':', 'Vikram', 'Chandra']",0
185,"['Another', 'RSS', 'worker', 'injured', 'in', 'Firozabad', 'shooting', ',', 'police', 'suspect', 'personal', 'rivalry']",0
186,"['Donald', 'Trump', 'Will', 'See', 'Castles', 'And', 'Gardens', 'In', 'Britain', ',', 'Avoiding', 'Protests']",0
187,"['Over', '2,200', 'Pilgrims', 'Embark', 'On', 'Amarnath', 'Yatra', 'After', '2-Day', 'Suspension', 'Ends']",0
188,"['Man', 'Sentenced', 'To', 'Death', 'For', 'Raping', '9-Year-Old', 'In', 'Madhya', 'Pradesh']",0
189,"['Islam', 'Will', 'Collapse', 'If', 'Prayer', 'In', 'Mosque', 'Not', 'Recognised', ',', 'Top', 'Court', 'Told']",0
190,"['Nuclear', 'Talks', 'With', 'North', 'Korea', '``', 'Very', 'Productive', ""''"", ':', 'Mike', 'Pompeo']",0
191,"['What', 'is', 'ailing', 'India', '’', 's', 'anti-population', 'drive', '?']",0
192,"['Bihar', 'Teen', 'Raped', 'For', 'Months', 'Allegedly', 'By', '18', 'Including', 'Principal', ',', 'Teachers']",0
193,"['Meghalaya', 'Chief', 'Minister', 'Rubbishes', 'Reports', 'Of', 'PDF', 'Pulling', 'Out', 'Of', 'Alliance']",0
194,"['Hindutva', 'leader', '‘', 'attacked', '’', 'own', 'vehicle', 'in', 'Chennai', 'for', 'security', ':', 'police']",0
195,"['Gujarat', 'Fisherman', 'Who', 'Died', 'In', 'Pakistan', 'Jail', 'In', 'March', 'Cremated', 'Yesterday']",0
196,"['``', 'Zakir', 'Naik', 'Will', 'Never', 'Get', 'Access', 'To', 'Bangladesh', ""''"", ':', 'Sheikh', 'Hasina', ""'s"", 'Aide']",0
197,"['15', '.', 'Kiran', 'Bedi', 'tweeted', 'a', 'fake', 'picture', 'of', 'monuments', 'lit', 'up', 'in', 'tricolour']",1
198,"['Officer', 'undergoing', 'tests', 'at', 'UK', 'hospital', 'that', 'treated', 'ex-spy']",0
199,"['NMIAL', 'achieves', 'financial', 'milestone', 'for', 'airport', 'first', 'phase']",0
